date,value
2000-08-01 00:00:00,2.47547
2000-09-01 00:00:00,2.5481
2000-10-01 00:00:00,2.51486
2000-11-01 00:00:00,2.56633
2000-12-01 00:00:00,2.48478
2001-01-01 00:00:00,2.70144
2001-02-01 00:00:00,2.5372
2001-03-01 00:00:00,2.1087
2001-04-01 00:00:00,2.37324
2001-05-01 00:00:00,2.55765
2001-06-01 00:00:00,2.39173
2001-07-01 00:00:00,2.10173
2001-08-01 00:00:00,2.09646
2001-09-01 00:00:00,1.3131
2001-10-01 00:00:00,1.53188
2001-11-01 00:00:00,1.32157
2001-12-01 00:00:00,1.06208
2002-01-01 00:00:00,0.66594
2002-02-01 00:00:00,0.67957
2002-03-01 00:00:00,0.94331
2002-04-01 00:00:00,1.18771
2002-05-01 00:00:00,0.98826
2002-06-01 00:00:00,0.9362
2002-07-01 00:00:00,1.19216
2002-08-01 00:00:00,1.40295
2002-09-01 00:00:00,1.93282
2002-10-01 00:00:00,1.76045
2002-11-01 00:00:00,1.92999
2002-12-01 00:00:00,2.13367
2003-01-01 00:00:00,2.34652
2003-02-01 00:00:00,2.60462
2003-03-01 00:00:00,2.58965
2003-04-01 00:00:00,1.9887
2003-05-01 00:00:00,1.80481
2003-06-01 00:00:00,1.78813
2003-07-01 00:00:00,1.86274
2003-08-01 00:00:00,2.00672
2003-09-01 00:00:00,2.14134
2003-10-01 00:00:00,1.96821
2003-11-01 00:00:00,1.99618
2003-12-01 00:00:00,2.12288
2004-01-01 00:00:00,2.21241
2004-02-01 00:00:00,2.00062
2004-03-01 00:00:00,1.89643
2004-04-01 00:00:00,2.25922
2004-05-01 00:00:00,2.70954
2004-06-01 00:00:00,2.89091
2004-07-01 00:00:00,2.68454
2004-08-01 00:00:00,2.39117
2004-09-01 00:00:00,2.27392
2004-10-01 00:00:00,2.70001
2004-11-01 00:00:00,2.96563
2004-12-01 00:00:00,2.79372
2005-01-01 00:00:00,2.53203
2005-02-01 00:00:00,2.59873
2005-03-01 00:00:00,2.74751
2005-04-01 00:00:00,2.8445
2005-05-01 00:00:00,2.56897
2005-06-01 00:00:00,2.3412
2005-07-01 00:00:00,2.67943
2005-08-01 00:00:00,3.0408
2005-09-01 00:00:00,3.83002
2005-10-01 00:00:00,3.55136
2005-11-01 00:00:00,2.93841
2005-12-01 00:00:00,2.88363
2006-01-01 00:00:00,3.24694
2006-02-01 00:00:00,3.02224
2006-03-01 00:00:00,2.91367
2006-04-01 00:00:00,3.10283
2006-05-01 00:00:00,3.32153
2006-06-01 00:00:00,3.51163
2006-07-01 00:00:00,3.42735
2006-08-01 00:00:00,3.33588
2006-09-01 00:00:00,2.08003
2006-10-01 00:00:00,1.67697
2006-11-01 00:00:00,1.92467
2006-12-01 00:00:00,2.28675
2007-01-01 00:00:00,2.13326
2007-02-01 00:00:00,2.38921
2007-03-01 00:00:00,2.5649
2007-04-01 00:00:00,2.33078
2007-05-01 00:00:00,2.35298
2007-06-01 00:00:00,2.31763
2007-07-01 00:00:00,2.12473
2007-08-01 00:00:00,1.87372
2007-09-01 00:00:00,2.53469
2007-10-01 00:00:00,3.08847
2007-11-01 00:00:00,3.59963
2007-12-01 00:00:00,3.47163
2008-01-01 00:00:00,3.38741
2008-02-01 00:00:00,3.27292
2008-03-01 00:00:00,3.19114
2008-04-01 00:00:00,3.13952
2008-05-01 00:00:00,3.28214
2008-06-01 00:00:00,3.81144
2008-07-01 00:00:00,4.13566
2008-08-01 00:00:00,3.98063
2008-09-01 00:00:00,3.66784
2008-10-01 00:00:00,2.67184
2008-11-01 00:00:00,0.92503
2008-12-01 00:00:00,0.12957
2009-01-01 00:00:00,-0.1111
2009-02-01 00:00:00,-0.13125
2009-03-01 00:00:00,-0.52575
2009-04-01 00:00:00,-0.56757
2009-05-01 00:00:00,-0.88921
2009-06-01 00:00:00,-1.01862
2009-07-01 00:00:00,-1.46601
2009-08-01 00:00:00,-1.10012
2009-09-01 00:00:00,-1.02275
2009-10-01 00:00:00,0.01339
2009-11-01 00:00:00,1.46061
2009-12-01 00:00:00,2.08972
2010-01-01 00:00:00,2.30172
2010-02-01 00:00:00,2.11633
2010-03-01 00:00:00,2.37272
2010-04-01 00:00:00,2.28212
2010-05-01 00:00:00,2.20847
2010-06-01 00:00:00,1.56222
2010-07-01 00:00:00,1.63739
2010-08-01 00:00:00,1.4824
2010-09-01 00:00:00,1.41955
2010-10-01 00:00:00,1.35842
2010-11-01 00:00:00,1.3072
2010-12-01 00:00:00,1.47767
2011-01-01 00:00:00,1.55987
2011-02-01 00:00:00,1.84503
2011-03-01 00:00:00,2.11055
2011-04-01 00:00:00,2.4881
2011-05-01 00:00:00,2.76625
2011-06-01 00:00:00,2.78845
2011-07-01 00:00:00,2.8757
2011-08-01 00:00:00,2.97673
2011-09-01 00:00:00,3.01903
2011-10-01 00:00:00,2.69363
2011-11-01 00:00:00,2.69926
2011-12-01 00:00:00,2.52662
2012-01-01 00:00:00,2.56931
2012-02-01 00:00:00,2.51315
2012-03-01 00:00:00,2.29803
2012-04-01 00:00:00,1.99985
2012-05-01 00:00:00,1.57694
2012-06-01 00:00:00,1.54602
2012-07-01 00:00:00,1.41003
2012-08-01 00:00:00,1.51187
2012-09-01 00:00:00,1.67797
2012-10-01 00:00:00,1.97688
2012-11-01 00:00:00,1.6991
2012-12-01 00:00:00,1.62438
2013-01-01 00:00:00,1.47081
2013-02-01 00:00:00,1.60461
2013-03-01 00:00:00,1.27699
2013-04-01 00:00:00,1.04123
2013-05-01 00:00:00,1.22903
2013-06-01 00:00:00,1.50551
2013-07-01 00:00:00,1.59511
2013-08-01 00:00:00,1.40479
2013-09-01 00:00:00,1.14129
2013-10-01 00:00:00,0.97611
2013-11-01 00:00:00,1.19547
2013-12-01 00:00:00,1.3881
2014-01-01 00:00:00,1.40541
2014-02-01 00:00:00,1.09398
2014-03-01 00:00:00,1.3897
2014-04-01 00:00:00,1.67311
2014-05-01 00:00:00,1.76617
2014-06-01 00:00:00,1.65146
2014-07-01 00:00:00,1.66924
2014-08-01 00:00:00,1.50624
2014-09-01 00:00:00,1.49725
2014-10-01 00:00:00,1.33294
2014-11-01 00:00:00,1.08576
2014-12-01 00:00:00,0.73226
2015-01-01 00:00:00,0.0414
2015-02-01 00:00:00,0.1707
2015-03-01 00:00:00,0.19935
2015-04-01 00:00:00,0.11032
2015-05-01 00:00:00,0.18529
2015-06-01 00:00:00,0.27043
2015-07-01 00:00:00,0.21973
2015-08-01 00:00:00,0.23927
2015-09-01 00:00:00,0.0657
2015-10-01 00:00:00,0.0955
2015-11-01 00:00:00,0.25388
2015-12-01 00:00:00,0.34596
2016-01-01 00:00:00,0.87115
2016-02-01 00:00:00,0.64033
2016-03-01 00:00:00,0.68551
2016-04-01 00:00:00,0.92591
2016-05-01 00:00:00,0.84869
2016-06-01 00:00:00,0.82961
2016-07-01 00:00:00,0.75508
2016-08-01 00:00:00,0.88821
2016-09-01 00:00:00,1.21977
2016-10-01 00:00:00,1.427
2016-11-01 00:00:00,1.3974
2016-12-01 00:00:00,1.65716
2017-01-01 00:00:00,2.00521
2017-02-01 00:00:00,2.19714
2017-03-01 00:00:00,1.90636
2017-04-01 00:00:00,1.76747
2017-05-01 00:00:00,1.55777
2017-06-01 00:00:00,1.46555
2017-07-01 00:00:00,1.48563
2017-08-01 00:00:00,1.57191
2017-09-01 00:00:00,1.75744
2017-10-01 00:00:00,1.68204
2017-11-01 00:00:00,1.79371
2017-12-01 00:00:00,1.76641
2018-01-01 00:00:00,1.75765
2018-02-01 00:00:00,1.83761
2018-03-01 00:00:00,1.99829
2018-04-01 00:00:00,2.04663
2018-05-01 00:00:00,2.26621
2018-06-01 00:00:00,2.26831
2018-07-01 00:00:00,2.33861
2018-08-01 00:00:00,2.18041
2018-09-01 00:00:00,2.00996
2018-10-01 00:00:00,2.0531
2018-11-01 00:00:00,1.94189
2018-12-01 00:00:00,1.86469
2019-01-01 00:00:00,1.49705
2019-02-01 00:00:00,1.42581
2019-03-01 00:00:00,1.509
2019-04-01 00:00:00,1.57715
2019-05-01 00:00:00,1.45672
2019-06-01 00:00:00,1.41136
2019-07-01 00:00:00,1.44022
2019-08-01 00:00:00,1.42161
2019-09-01 00:00:00,1.30446
2019-10-01 00:00:00,1.33145
2019-11-01 00:00:00,1.33197
2019-12-01 00:00:00,1.53942
2020-01-01 00:00:00,1.69792
2020-02-01 00:00:00,1.64201
2020-03-01 00:00:00,1.14695
2020-04-01 00:00:00,0.41114
2020-05-01 00:00:00,0.44863
2020-06-01 00:00:00,0.70553
2020-07-01 00:00:00,0.90051
2020-08-01 00:00:00,1.16534
2020-09-01 00:00:00,1.24718
2020-10-01 00:00:00,1.11869
2020-11-01 00:00:00,1.15388
2020-12-01 00:00:00,1.36649
2021-01-01 00:00:00,1.615
2021-02-01 00:00:00,1.8852
2021-03-01 00:00:00,2.71302
2021-04-01 00:00:00,3.72461
2021-05-01 00:00:00,4.15536
2021-06-01 00:00:00,4.3724
2021-07-01 00:00:00,4.53315
2021-08-01 00:00:00,4.64484
2021-09-01 00:00:00,4.80542
2021-10-01 00:00:00,5.40695
2021-11-01 00:00:00,5.98591
2021-12-01 00:00:00,6.18029
2022-01-01 00:00:00,6.29705
2022-02-01 00:00:00,6.547
2022-03-01 00:00:00,6.89294
2022-04-01 00:00:00,6.61979
2022-05-01 00:00:00,6.68996
2022-06-01 00:00:00,7.11691
2022-07-01 00:00:00,6.61695
2022-08-01 00:00:00,6.5154
2022-09-01 00:00:00,6.5561
2022-10-01 00:00:00,6.34792
2022-11-01 00:00:00,5.92857
2022-12-01 00:00:00,5.44191
2023-01-01 00:00:00,5.47909
2023-02-01 00:00:00,5.18961
2023-03-01 00:00:00,4.44227
2023-04-01 00:00:00,4.44642
2023-05-01 00:00:00,3.96203
2023-06-01 00:00:00,3.19842
2023-07-01 00:00:00,3.31471
2023-08-01 00:00:00,3.34759
2023-09-01 00:00:00,3.36959
2023-10-01 00:00:00,2.95056
2023-11-01 00:00:00,2.71202
2023-12-01 00:00:00,2.62193
2024-01-01 00:00:00,2.4023
